"Dataset","Tissue","Species","Method","LLMBackend","LLMModelID","RefinementSelector","RefinementBudgetK","Replicate","FirstPassResponseHash","RefinementResponseHash","RefinementPromptTokens","RefinementCompletionTokens","RefinementTokens","RefinementRuntimeSec","RefinementCostUSD","SecondPassCalls","CostPerCorrectedError","NClusters","NFlagged","NRefined","FlaggedRate","NInitiallyIncorrect","SelectionPrecision","SelectionRecall","SelectionSpecificity","SelectionNPV","SelectionMCC","ConflictPrecision","ConflictRecall","NLabelChanged","WrongToCorrect","CorrectToWrong","NetCorrectionRate","CorrectionEfficiency","HarmRate","NetCorrectionPerChangedLabel","RefinementFamily","FullWrongToCorrect","FullNRefined","RecoveryFraction","RelativeRefinementBudget","RefinementPricingDate","RefinementPricingSource","RefinementInputCostPer1MTokens","RefinementOutputCostPer1MTokens"
"TasicBrain","Brain","Mouse","OpenAICell-FullRefined","openai","gpt-5","full",15,1,"d8a468bd120c7d324726605f6adeca36","4b147a83bab6bcb3c8b9bdcd7367afdd",3302,1217,4519,11.1717028617859,0.0162975,1,NA,15,15,15,1,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA,"OpenAICell",0,15,NA,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-RandomK","openai","gpt-5","random-k",1,1,"363e5c84a408d293707b9d7c8632b7cb","79f47e8fd1affd74311764fd551d24be",422,115,537,1.76733803749084,0.0016775,1,NA,16,1,1,0.0625,3,0,0,0.923076923076923,0.8,-0.124034734589208,0,0,0,0,0,0,0,0,NA,"OpenAICell",2,16,0,0.0625,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",1,1,"363e5c84a408d293707b9d7c8632b7cb","d2a55fff2b7b347f284f10c253e08fc6",422,122,544,2.02475500106812,0.0017475,1,NA,16,1,1,0.0625,3,0,0,0.923076923076923,0.8,-0.124034734589208,0,0,0,0,0,0,0,0,NA,"OpenAICell",2,16,0,0.0625,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",1,1,"363e5c84a408d293707b9d7c8632b7cb","32be4f9d1d3267fa9a359ff24adf5c88",434,105,539,1.89412188529968,0.0015925,1,0.0015925,16,1,1,0.0625,3,1,0.333333333333333,1,0.866666666666667,0.53748384988657,1,0.333333333333333,1,1,0,1,1,0,1,"OpenAICell",2,16,0.5,0.0625,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",1,1,"363e5c84a408d293707b9d7c8632b7cb","dcec831fed20283cefce3ed8bc9b59b8",439,101,540,1.85310196876526,0.00155875,1,0.00155875,16,1,1,0.0625,3,1,0.333333333333333,1,0.866666666666667,0.53748384988657,1,0.333333333333333,1,1,0,1,1,0,1,"OpenAICell",2,16,0.5,0.0625,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-FullRefined","openai","gpt-5","full",16,1,"363e5c84a408d293707b9d7c8632b7cb","5dce083f53e12db702cd4af2460d3208",3550,1367,4917,9.82385110855103,0.0181075,1,0.00905375,16,16,16,1,3,0.1875,1,0,NA,NA,0.1875,1,3,2,1,0.0625,0.125,0.0625,0.333333333333333,"OpenAICell",2,16,1,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-RandomK","openai","gpt-5","random-k",0,1,"0d3e3a7932fe4647d24e8a454e3ebb5e",NA,0,0,0,0,0,0,NA,17,0,0,0,5,NA,0,1,0.705882352941177,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",1,17,0,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,1,"0d3e3a7932fe4647d24e8a454e3ebb5e",NA,0,0,0,0,0,0,NA,17,0,0,0,5,NA,0,1,0.705882352941177,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",1,17,0,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,1,"0d3e3a7932fe4647d24e8a454e3ebb5e",NA,0,0,0,0,0,0,NA,17,0,0,0,5,NA,0,1,0.705882352941177,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",1,17,0,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,1,"0d3e3a7932fe4647d24e8a454e3ebb5e",NA,0,0,0,0,0,0,NA,17,0,0,0,5,NA,0,1,0.705882352941177,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",1,17,0,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
