"Dataset","Tissue","Species","Method","Replicate","RefinementSelector","RefinementBudgetK","ConfidenceColumn","Brier","BinaryCorrectnessNLL","NLL","ECE","AUROC","AURC","MeanConfidence","Accuracy","CoverageAt0.7","CoverageAt0.8","CoverageAt0.9","AccuracyAt0.7","AccuracyAt0.8","AccuracyAt0.9"
"PBMC","PBMC","Human","DeepSeekCell-RandomK",2,"random-k",0,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",0,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"PBMC","PBMC","Human","DeepSeekCell-FullRefined",2,"full",8,"Confidence",0.022003375,0.154799325178064,0.154799325178064,0.142375,NA,0,0.857625,1,1,0.875,0,1,1,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,"LLMConfidence",0.17960625,0.506029558590832,0.506029558590832,0.200625,0.96875,0.0392570970695971,0.911875,0.75,1,1,0.6875,0.75,0.75,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,"LLMConfidence",0.17960625,0.506029558590832,0.506029558590832,0.200625,0.96875,0.0392570970695971,0.911875,0.75,1,1,0.6875,0.75,0.75,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,"Confidence",0.1884436875,0.55959133102819,0.55959133102819,0.0726875,0.833333333333333,0.0728578712953713,0.8165625,0.75,1,0.8125,0.0625,0.75,0.769230769230769,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,"Confidence",0.1884436875,0.55959133102819,0.55959133102819,0.0726875,0.833333333333333,0.0728578712953713,0.8165625,0.75,1,0.8125,0.0625,0.75,0.769230769230769,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,"Confidence",0.1884436875,0.55959133102819,0.55959133102819,0.0726875,0.833333333333333,0.0728578712953713,0.8165625,0.75,1,0.8125,0.0625,0.75,0.769230769230769,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",0,"Confidence",0.1884436875,0.55959133102819,0.55959133102819,0.0726875,0.833333333333333,0.0728578712953713,0.8165625,0.75,1,0.8125,0.0625,0.75,0.769230769230769,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined",2,"full",16,"Confidence",0.1884436875,0.55959133102819,0.55959133102819,0.0726875,0.833333333333333,0.0728578712953713,0.8165625,0.75,1,0.8125,0.0625,0.75,0.769230769230769,1
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,"LLMConfidence",0.119318181818182,0.412632319208782,0.412632319208782,0.131818181818182,0.694444444444444,0.0388200183654729,0.904545454545455,0.818181818181818,0.909090909090909,0.909090909090909,0.818181818181818,0.9,0.9,0.888888888888889
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,"LLMConfidence",0.119318181818182,0.412632319208782,0.412632319208782,0.131818181818182,0.694444444444444,0.0388200183654729,0.904545454545455,0.818181818181818,0.909090909090909,0.909090909090909,0.818181818181818,0.9,0.9,0.888888888888889
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,"Confidence",0.124698454545455,0.425251314310098,0.425251314310098,0.131727272727273,0.555555555555556,0.183625213170668,0.775545454545455,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,"Confidence",0.124698454545455,0.425251314310098,0.425251314310098,0.131727272727273,0.555555555555556,0.183625213170668,0.775545454545455,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-RandomK",2,"random-k",0,"Confidence",0.124698454545455,0.425251314310098,0.425251314310098,0.131727272727273,0.555555555555556,0.183625213170668,0.775545454545455,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",0,"Confidence",0.124698454545455,0.425251314310098,0.425251314310098,0.131727272727273,0.555555555555556,0.183625213170668,0.775545454545455,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-FullRefined",2,"full",11,"Confidence",0.129873454545455,0.435625251288954,0.435625251288954,0.136727272727273,0.555555555555556,0.183625213170668,0.780545454545455,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"TasicBrain","Brain","Mouse","DeepSeek-Plain",2,"none",0,"LLMConfidence",0.0128333333333333,0.0975016794643593,0.0975016794643593,0.09,NA,0,0.91,1,1,0.933333333333333,0.733333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-Evidence",2,"none",0,"LLMConfidence",0.0128333333333333,0.0975016794643593,0.0975016794643593,0.09,NA,0,0.91,1,1,0.933333333333333,0.733333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-Calibrated",2,"none",0,"Confidence",0.0309274,0.186131708638145,0.186131708638145,0.168333333333333,NA,0,0.831666666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-SelfRefined",2,"evidence-k",0,"Confidence",0.0309274,0.186131708638145,0.186131708638145,0.168333333333333,NA,0,0.831666666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-RandomK",2,"random-k",0,"Confidence",0.0309274,0.186131708638145,0.186131708638145,0.168333333333333,NA,0,0.831666666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-ConfidenceK",2,"confidence-k",0,"Confidence",0.0309274,0.186131708638145,0.186131708638145,0.168333333333333,NA,0,0.831666666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-FullRefined",2,"full",15,"Confidence",0.0309274,0.186131708638145,0.186131708638145,0.168333333333333,NA,0,0.831666666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"ZeiselBrain","Brain","Mouse","DeepSeek-Plain",2,"none",0,"LLMConfidence",0.23718125,0.787170378466247,0.787170378466247,0.233125,0.736363636363636,0.20283904463592,0.920625,0.6875,0.9375,0.9375,0.875,0.733333333333333,0.733333333333333,0.785714285714286
"ZeiselBrain","Brain","Mouse","DeepSeekCell-Evidence",2,"none",0,"LLMConfidence",0.23718125,0.787170378466247,0.787170378466247,0.233125,0.736363636363636,0.20283904463592,0.920625,0.6875,0.9375,0.9375,0.875,0.733333333333333,0.733333333333333,0.785714285714286
"ZeiselBrain","Brain","Mouse","DeepSeekCell-Calibrated",2,"none",0,"Confidence",0.192680125,0.558762696892187,0.558762696892187,0.17225,0.809090909090909,0.1063631247225,0.830125,0.6875,0.9375,0.6875,0.25,0.733333333333333,0.727272727272727,1
