"Dataset","Tissue","Species","Method","RefinementSelector","RefinementBudgetK","Replicate","FirstPassResponseHash","RefinementResponseHash","RefinementPromptTokens","RefinementCompletionTokens","RefinementTokens","RefinementRuntimeSec","RefinementCostUSD","SecondPassCalls","CostPerCorrectedError","NClusters","NFlagged","NRefined","FlaggedRate","NInitiallyIncorrect","SelectionPrecision","SelectionRecall","SelectionSpecificity","SelectionNPV","SelectionMCC","ConflictPrecision","ConflictRecall","NLabelChanged","WrongToCorrect","CorrectToWrong","NetCorrectionRate","NetCorrectionPerChangedLabel","FullWrongToCorrect","FullNRefined","CorrectionEfficiency","HarmRate","RecoveryFraction","RelativeRefinementBudget"
"ZilionisLung","Lung","Human","DeepSeekCell-RandomK","random-k",6,1,"bfcf72a93fe7e73573f3d2cbf363fba6","ef238b748c3faffd3adb698cecb36fc2",0,0,1832,4.13747406005859,0.0003409,1,0.000113633333333333,17,6,6,0.352941176470588,17,1,0.352941176470588,NA,0,NA,1,0.352941176470588,6,3,0,0.5,0.5,11,17,0.5,0,0.272727272727273,0.352941176470588
"ZilionisLung","Lung","Human","DeepSeekCell-ConfidenceK","confidence-k",6,1,"bfcf72a93fe7e73573f3d2cbf363fba6","c7eec636d72ed4b97e183f7084455649",0,0,1929,5.07498812675476,0.00035826,1,8.9565e-05,17,6,6,0.352941176470588,17,1,0.352941176470588,NA,0,NA,1,0.352941176470588,6,4,0,0.666666666666667,0.666666666666667,11,17,0.666666666666667,0,0.363636363636364,0.352941176470588
"ZilionisLung","Lung","Human","DeepSeekCell-SelfRefined","evidence-k",6,1,"bfcf72a93fe7e73573f3d2cbf363fba6","39dc6e1df13f8f74dd9ccb1bef799566",0,0,1966,4.16128301620483,0.00036036,1,7.2072e-05,17,6,6,0.352941176470588,17,1,0.352941176470588,NA,0,NA,1,0.352941176470588,6,5,0,0.833333333333333,0.833333333333333,11,17,0.833333333333333,0,0.454545454545455,0.352941176470588
"ZilionisLung","Lung","Human","DeepSeekCell-FullRefined","full",17,1,"bfcf72a93fe7e73573f3d2cbf363fba6","c9795f6242ae67c02b67ba92c65f2374",0,0,4839,10.2616138458252,0.00090552,1,8.232e-05,17,17,17,1,17,1,1,NA,NA,NA,1,1,17,11,0,0.647058823529412,0.647058823529412,11,17,0.647058823529412,0,1,1
"PBMC","PBMC","Human","DeepSeekCell-RandomK","random-k",0,2,"9d36c00701939ec4eb4888a31655ef5c",NA,0,0,0,0,0,0,NA,8,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,8,NA,NA,NA,0
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK","confidence-k",0,2,"9d36c00701939ec4eb4888a31655ef5c",NA,0,0,0,0,0,0,NA,8,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,8,NA,NA,NA,0
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined","evidence-k",0,2,"9d36c00701939ec4eb4888a31655ef5c",NA,0,0,0,0,0,0,NA,8,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,8,NA,NA,NA,0
"PBMC","PBMC","Human","DeepSeekCell-FullRefined","full",8,2,"9d36c00701939ec4eb4888a31655ef5c","830a28cdfad4b4efe9aba77483dade9e",1940,863,2803,4.96266913414001,0.00051324,1,NA,8,8,8,1,0,0,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,8,0,0,NA,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK","random-k",0,2,"db1ed5bb8d39dd1fc23bcdc23db74d13",NA,0,0,0,0,0,0,NA,16,0,0,0,4,NA,0,1,0.75,NA,NA,0,0,0,0,NA,NA,0,16,NA,NA,NA,0
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","confidence-k",0,2,"db1ed5bb8d39dd1fc23bcdc23db74d13",NA,0,0,0,0,0,0,NA,16,0,0,0,4,NA,0,1,0.75,NA,NA,0,0,0,0,NA,NA,0,16,NA,NA,NA,0
